PhraseId,Sentiment
156061,2
156062,3
156063,2
156064,3
156065,3
156066,2
156067,3
156068,2
156069,4
156070,2
156071,1
156072,2
156073,2
156074,2
156075,2
156076,2
156077,3
156078,2
156079,2
156080,2
156081,2
156082,2
156083,3
156084,2
156085,2
156086,2
156087,2
156088,2
156089,2
156090,2
156091,2
156092,2
156093,2
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,3
156109,2
156110,2
156111,1
156112,2
156113,1
156114,1
156115,1
156116,2
156117,3
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,3
156126,2
156127,2
156128,3
156129,2
156130,3
156131,2
156132,3
156133,2
156134,2
156135,2
156136,2
156137,2
156138,3
156139,1
156140,1
156141,1
156142,2
156143,2
156144,2
156145,2
156146,2
156147,3
156148,3
156149,3
156150,3
156151,2
156152,2
156153,2
156154,3
156155,2
156156,2
156157,2
156158,2
156159,3
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,3
156167,2
156168,3
156169,2
156170,2
156171,3
156172,3
156173,2
156174,3
156175,2
156176,2
156177,2
156178,1
156179,2
156180,0
156181,1
156182,2
156183,2
156184,2
156185,2
156186,2
156187,3
156188,2
156189,2
156190,2
156191,3
156192,2
156193,2
156194,2
156195,2
156196,2
156197,1
156198,1
156199,3
156200,2
156201,1
156202,2
156203,1
156204,2
156205,1
156206,3
156207,1
156208,2
156209,1
156210,2
156211,2
156212,2
156213,2
156214,2
156215,3
156216,2
156217,2
156218,3
156219,4
156220,2
156221,4
156222,4
156223,2
156224,1
156225,2
156226,1
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,2
156238,3
156239,2
156240,3
156241,3
156242,2
156243,3
156244,3
156245,3
156246,3
156247,2
156248,2
156249,2
156250,1
156251,1
156252,3
156253,1
156254,2
156255,2
156256,2
156257,2
156258,2
156259,3
156260,2
156261,2
156262,1
156263,3
156264,3
156265,3
156266,2
156267,2
156268,2
156269,2
156270,2
156271,3
156272,1
156273,2
156274,1
156275,1
156276,3
156277,3
156278,3
156279,3
156280,3
156281,2
156282,3
156283,2
156284,2
156285,2
156286,3
156287,3
156288,3
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,1
156297,2
156298,2
156299,2
156300,1
156301,2
156302,2
156303,2
156304,2
156305,2
156306,2
156307,2
156308,2
156309,2
156310,2
156311,2
156312,2
